"","nome_municipio","num_habilidade","ch.total","lc.total","mt.total","cn.total","ch.acertos","lc.acertos","mt.acertos","cn.acertos","ch.acuracia","lc.acuracia","mt.acuracia","cn.acuracia"
"226","Cedro",16,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"227","Cedro",17,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"228","Cedro",18,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"229","Cedro",19,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"230","Cedro",20,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"231","Cedro",21,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"232","Cedro",22,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"233","Cedro",23,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"234","Cedro",24,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"235","Cedro",25,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"236","Cedro",26,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"237","Cedro",27,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"238","Cedro",28,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"239","Cedro",29,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"240","Cedro",30,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"241","Floresta",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"242","Floresta",2,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"243","Floresta",3,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"244","Floresta",4,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"245","Floresta",5,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"246","Floresta",6,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"247","Floresta",7,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"248","Floresta",8,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"249","Floresta",9,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"250","Floresta",10,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"251","Floresta",11,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"252","Floresta",12,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"253","Floresta",13,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"254","Floresta",14,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"255","Floresta",15,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"256","Floresta",16,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"257","Floresta",17,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"258","Floresta",18,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"259","Floresta",19,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"260","Floresta",20,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"261","Floresta",21,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"262","Floresta",22,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"263","Floresta",23,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"264","Floresta",24,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"265","Floresta",25,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"266","Floresta",26,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"267","Floresta",27,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"268","Floresta",28,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"269","Floresta",29,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"270","Floresta",30,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"271","Garanhuns",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"272","Garanhuns",2,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"273","Garanhuns",3,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"274","Garanhuns",4,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"275","Garanhuns",5,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"276","Garanhuns",6,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"277","Garanhuns",7,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"278","Garanhuns",8,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"279","Garanhuns",9,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"280","Garanhuns",10,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"281","Garanhuns",11,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"282","Garanhuns",12,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"283","Garanhuns",13,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"284","Garanhuns",14,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"285","Garanhuns",15,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"286","Garanhuns",16,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"287","Garanhuns",17,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"288","Garanhuns",18,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"289","Garanhuns",19,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"290","Garanhuns",20,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"291","Garanhuns",21,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"292","Garanhuns",22,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"293","Garanhuns",23,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"294","Garanhuns",24,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"295","Garanhuns",25,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"296","Garanhuns",26,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"297","Garanhuns",27,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"298","Garanhuns",28,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"299","Garanhuns",29,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"300","Garanhuns",30,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"301","Igarassu",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"302","Igarassu",2,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"303","Igarassu",3,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"304","Igarassu",4,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"305","Igarassu",5,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"306","Igarassu",6,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"307","Igarassu",7,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"308","Igarassu",8,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"309","Igarassu",9,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"310","Igarassu",10,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"311","Igarassu",11,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"312","Igarassu",12,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"313","Igarassu",13,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"314","Igarassu",14,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"315","Igarassu",15,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"316","Igarassu",16,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"317","Igarassu",17,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"318","Igarassu",18,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"319","Igarassu",19,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"320","Igarassu",20,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"321","Igarassu",21,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"322","Igarassu",22,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"323","Igarassu",23,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"324","Igarassu",24,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"325","Igarassu",25,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"326","Igarassu",26,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"327","Igarassu",27,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"328","Igarassu",28,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"329","Igarassu",29,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"330","Igarassu",30,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"331","Ingazeira",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"332","Ingazeira",2,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"333","Ingazeira",3,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"334","Ingazeira",4,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"335","Ingazeira",5,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"336","Ingazeira",6,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"337","Ingazeira",7,0,0,0,0,0,0,0,0,NA,NA,NA,NA
